game_id,date,away_name,away_id,away_score,home_name,home_id,home_score,inserted
748153,2024-03-01,White Sox,145,6,Cubs,112,10,2024-03-07 15:20:54
748158,2024-03-01,Angels,108,5,Padres,135,3,2024-03-07 15:20:54
748152,2024-03-01,Mariners,136,9,Rockies,115,10,2024-03-07 15:20:54
748155,2024-03-01,Padres,135,3,Brewers,158,4,2024-03-07 15:20:54
748163,2024-03-01,Blue Jays,141,4,Yankees,147,8,2024-03-07 15:20:54
748156,2024-03-01,D-backs,109,12,Reds,113,8,2024-03-07 15:20:54
748157,2024-03-01,Guardians,114,4,Dodgers,119,6,2024-03-07 15:20:54
748150,2024-03-02,Nationals,120,2,Red Sox,111,4,2024-03-07 15:20:54
748147,2024-03-02,Pirates,134,7,Tigers,116,3,2024-03-07 15:20:54
748145,2024-03-02,Cardinals,138,1,Astros,117,7,2024-03-07 15:20:54
748148,2024-03-02,Red Sox,111,3,Rays,139,2,2024-03-07 15:20:54
748146,2024-03-02,Twins,142,2,Phillies,143,3,2024-03-07 15:20:54
748141,2024-03-02,Yankees,147,3,Orioles,110,7,2024-03-07 15:20:54
748144,2024-03-02,Braves,144,6,Blue Jays,141,2,2024-03-07 15:20:54
748149,2024-03-02,Mets,121,1,Marlins,146,4,2024-03-07 15:20:54
748140,2024-03-02,Royals,118,13,Guardians,114,12,2024-03-07 15:20:54
748143,2024-03-02,Cubs,112,5,Dodgers,119,8,2024-03-07 15:20:54
748135,2024-03-02,Padres,135,3,Giants,137,2,2024-03-07 15:20:54
748136,2024-03-02,White Sox,145,3,Rangers,140,14,2024-03-07 15:20:54
748142,2024-03-02,D-backs,109,1,Angels,108,4,2024-03-07 15:20:54
748137,2024-03-02,Reds,113,4,Rockies,115,10,2024-03-07 15:20:54
748139,2024-03-02,Athletics,133,12,Mariners,136,8,2024-03-07 15:20:54
748138,2024-03-02,Dodgers,119,11,Brewers,158,3,2024-03-07 15:20:54
748134,2024-03-03,Orioles,110,5,Pirates,134,2,2024-03-07 15:20:54
748129,2024-03-03,Blue Jays,141,1,Red Sox,111,3,2024-03-07 15:20:54
748132,2024-03-03,Rays,139,4,Twins,142,4,2024-03-07 15:20:54
748127,2024-03-03,Phillies,143,2,Braves,144,3,2024-03-07 15:20:54
748133,2024-03-03,Tigers,116,7,Yankees,147,2,2024-03-07 15:20:54
748131,2024-03-03,Astros,117,5,Mets,121,2,2024-03-07 15:20:54
748125,2024-03-03,Guardians,114,3,Cubs,112,5,2024-03-07 15:20:54
748124,2024-03-03,Reds,113,3,Royals,118,7,2024-03-07 15:20:54
748126,2024-03-03,Rockies,115,4,Dodgers,119,7,2024-03-07 15:20:54
748121,2024-03-03,Giants,137,6,Guardians,114,5,2024-03-07 15:20:54
748123,2024-03-03,Rangers,140,2,Athletics,133,5,2024-03-07 15:20:54
748122,2024-03-03,Mariners,136,4,Padres,135,12,2024-03-07 15:20:54
748120,2024-03-03,White Sox,145,1,Angels,108,3,2024-03-07 15:20:54
748119,2024-03-03,Brewers,158,10,D-backs,109,4,2024-03-07 15:20:54
748130,2024-03-03,Marlins,146,0,Nationals,120,0,2024-03-07 15:20:54
748128,2024-03-03,Marlins,146,0,Cardinals,138,0,2024-03-07 15:20:54
748115,2024-03-04,Red Sox,111,1,Tigers,116,2,2024-03-07 15:20:54
748118,2024-03-04,Cardinals,138,0,Nationals,120,1,2024-03-07 15:20:54
748116,2024-03-04,Pirates,134,7,Rays,139,3,2024-03-07 15:20:54
748117,2024-03-04,Twins,142,7,Orioles,110,2,2024-03-07 15:20:54
748114,2024-03-04,Braves,144,3,Twins,142,4,2024-03-07 15:20:54
748113,2024-03-04,Phillies,143,2,Blue Jays,141,5,2024-03-07 15:20:54
748107,2024-03-04,Athletics,133,8,Reds,113,15,2024-03-07 15:20:54
748111,2024-03-04,Angels,108,3,Rangers,140,2,2024-03-07 15:20:54
748109,2024-03-04,D-backs,109,2,White Sox,145,5,2024-03-07 15:20:54
748110,2024-03-04,Cubs,112,1,Padres,135,2,2024-03-07 15:20:54
748106,2024-03-04,Giants,137,10,Rockies,115,12,2024-03-07 15:20:54
